CLOSED DATE,OPEID,SCHOOL NAME,LOCATION                                                       ,ADDRESS                                                       ,CITY          ,STATE,ZIP CODE
08/31/2021 ,00258011     ,SOUTHERN NEW HAMPSHIRE UNIVERSITY                                     ,SOUTHERN NEW HAMPSHIRE UNIVERSITY - SALEM CENTER                      ,25 PELHAM RD ANANDA BUILDING                                           ,SALEM                    ,NH        ,03079-2840
08/31/2021 ,00270900     ,CONCORDIA COLLEGE                                                     ,CONCORDIA COLLEGE                                                     ,171 WHITE PLAINS ROAD                                                  ,BRONXVILLE               ,NY        ,10708-1998
08/31/2021 ,00359902     ,UNIVERSITY OF TEXAS RIO GRANDE VALLEY                                 ,UNIVERSITY OF TEXAS RIO GRANDE VALLEY - MCALLEN                       ,1800 SOUTH MAIN STREET SUITE 1100                                      ,MCALLEN                  ,TX        ,78501-5444
08/31/2021 ,01262701     ,THOMAS M. COOLEY LAW SCHOOL                                           ,THOMAS M. COOLEY LAW SCHOOL - GRAND RAPIDS                            ,111 COMMERCE STREET SW                                                 ,GRAND RAPIDS             ,MI        ,49503-4116
08/30/2021 ,00499903     ,BELLINGHAM TECHNICAL COLLEGE                                          ,BELLINGHAM TECHNICAL COLLEGE - RAILROAD                               ,1411 RAILROAD AVENUE                                                   ,BELLINGHAM               ,WA        ,98225-4526
08/28/2021 ,01072757     ,DEVRY UNIVERSITY                                                      ,DEVRY UNIVERSITY - CLEVELAND II                                       ,4141 ROCKSIDE ROAD SUITE 110                                           ,SEVEN HILLS              ,OH        ,44131-2537
08/27/2021 ,00301225     ,ASHLAND UNIVERSITY                                                    ,ASHLAND UNIVERSITY - CLEVELAND CENTER (SEMINARY)                      ,6500 ROCKSIDE ROAD SUITE 130                                           ,INDEPENDENCE             ,OH        ,44131-2368
08/26/2021 ,00530705     ,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY--MCMINNVILLE                  ,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY--MCMINNVILLE                  ,199 PIONEER LANE                                                       ,MCMINNVILLE              ,TN        ,37110-1322
08/26/2021 ,04255600     ,INTERNATIONAL DIVING INSTITUTE                                        ,INTERNATIONAL DIVING INSTITUTE                                        ,2340 AVENUE F                                                          ,N CHARLESTON             ,SC        ,29405-9914
08/20/2021 ,00380205     ,WESTERN WASHINGTON UNIVERSITY                                         ,WESTERN WASHINGTON UNIVERSITY - NORTH SEATTLE COMMUNITY COLLEGE       ,9600 COLLEGE WAY NORTH COLLEGE CENTER BUILDING 1254                    ,SEATTLE                  ,WA        ,98103-3599
08/20/2021 ,00380216     ,WESTERN WASHINGTON UNIVERSITY                                         ,WESTERN WASHINGTON UNIVERSITY - TACOMA PROFESSIONAL DEVELOPMENT CENTER,601 SOUTH 8TH STREET TACOMA SCHOOL DISTRICT                            ,TACOMA                   ,WA        ,98401-1357
08/20/2021 ,02079409     ,EMPIRE BEAUTY SCHOOL                                                  ,EMPIRE BEAUTY SCHOOL - SOUTH MEMPHIS                                  ,804 SOUTH HIGHLAND                                                     ,MEMPHIS                  ,TN        ,38111-4253
08/19/2021 ,00225101     ,DELTA COLLEGE                                                         ,DELTA COLLEGE - MIDLAND                                               ,MIDLAND CENTER 1025 EAST WHEELER CENTER                                ,MIDLAND                  ,MI        ,48640-3098
08/17/2021 ,00297617     ,UNIVERSITY OF NORTH CAROLINA -GREENSBORO                              ,UNIVERSITY OF NORTH CAROLINA -GREENSBORO - MOSS STREET PARTNERSHIP    ,MOSS STREET PARTNERSHIP SCHOOL 419 MOSS STREET                         ,REIDSVILLE               ,NC        ,27320-3439
08/15/2021 ,00318450     ,UNIVERSITY OF OKLAHOMA                                                ,UNIVERSITY OF OKLAHOMA - HURLBURT FIELD                               ,UNIVERSITY OF OKLAHOMA AT HURLBURT FIELD                               ,HURLBURT FIELD           ,FL        ,32544-5272
08/15/2021 ,00365202     ,UNIVERSITY OF HOUSTON                                                 ,UNIVERSITY OF HOUSTON - CYPRESS FAIRBANKS                             ,10300 JONES ROAD                                                       ,HOUSTON                  ,TX        ,77065-4208
08/15/2021 ,10252125     ,WEBSTER UNIVERSITY                                                    ,WEBSTER UNIVERSITY - JOINT BASE MYER-HENDERSON HALL                   ,1555 SOUTHGATE ROAD BUILDING 29 ROOM 108                               ,ARLINGTON                ,VA        ,22214-5001
08/13/2021 ,00391946     ,UNIVERSITY OF WISCONSIN - LACROSSE                                    ,UNIVERSITY OF WISCONSIN - LACROSSE - HOTEL J GREEN BAY                ,2620 SOUTH PACKERLAND DRIVE                                            ,GREEN BAY                ,WI        ,54313-6145
