CLOSED DATE,OPEID,SCHOOL NAME                                                        ,LOCATION                                                       ,ADDRESS                                                       ,CITY          ,STATE,ZIP CODE
07/09/2020 ,00158819     ,PIEDMONT UNIVERSITY                                                   ,PIEDMONT COLLEGE -  FLINT RESA COHORT                                 ,CHATTAHOOCHEE FLINT RESA OFFICE 121 EAST COLLEGE STREET                ,ELLAVILLE                ,GA        ,31806-3545
07/09/2020 ,00158820     ,PIEDMONT UNIVERSITY                                                   ,PIEDMONT COLLEGE - BARTOW CO.                                         ,BARTOW COUNTY LEARNING CENTER 65 GILREATH ROAD                         ,CARTERSVILLE             ,GA        ,30121-5016
07/09/2020 ,00158821     ,PIEDMONT UNIVERSITY                                                   ,PIEDMONT COLLEGE - BARROW CO.                                         ,BARROW BOARD OF EDUCATION 179 WEST ATHENS STREET                       ,WINDER                   ,GA        ,30680-1779
07/09/2020 ,00158822     ,PIEDMONT UNIVERSITY                                                   ,PIEDMONT COLLEGE - ROCKDALE/HENRY CO.                                 ,ROCKDALE CAREER ACADEMY 1064 CULPEPPER DRIVE                           ,CONYERS                  ,GA        ,30094-5985
07/09/2020 ,00158826     ,PIEDMONT UNIVERSITY                                                   ,PIEDMONT COLLEGE - UNION CO.                                          ,UNION COUNTY ELEMENTARY 165 ELEMENTARY WAY                             ,BLAIRSVILLE              ,GA        ,30512-0000
07/09/2020 ,00158828     ,PIEDMONT UNIVERSITY                                                   ,PIEDMONT COLLEGE - BIBB CO.                                           ,BIBB COUNTY ANNEX 2007 RIVERSIDE DRIVE                                 ,MACON                    ,GA        ,31204-2087
07/09/2020 ,00158829     ,PIEDMONT UNIVERSITY                                                   ,PIEDMONT COLLEGE -  FAYETTE CO.                                       ,LAFAYETTE EDUCATION CENTER 205 LAFAYETTE AVENUE                        ,FAYETTEVILLE             ,GA        ,30212-1643
07/09/2020 ,00158830     ,PIEDMONT UNIVERSITY                                                   ,PIEDMONT COLLEGE -  GRIFFIN/SPALDING CO.                              ,SPALDING COUNTY HIGH SCHOOL 433 WILSON ROAD                            ,GRIFFIN                  ,GA        ,30224-4547
07/09/2020 ,00158831     ,PIEDMONT UNIVERSITY                                                   ,PIEDMONT COLLEGE -  MORGAN CO.                                        ,MORGAN COUNTY FRESHMAN ACADEMY 1231 COLLEGE DRIVE                      ,MADISON                  ,GA        ,30650-1462
07/09/2020 ,00158833     ,PIEDMONT UNIVERSITY                                                   ,PIEDMONT COLLEGE - HARRIS COUNTY                                      ,CARVER RESOURCE CENTER BUILDING ONE 757 CARVER CIRCLE                  ,HAMILTON                 ,GA        ,31811-6170
07/11/2020 ,00319100     ,CONCORDIA UNIVERSITY                                                  ,CONCORDIA UNIVERSITY                                                  ,2811 NORTHEAST HOLMAN STREET                                           ,PORTLAND                 ,OR        ,97211-6099
07/11/2020 ,00319103     ,CONCORDIA UNIVERSITY                                                  ,CONCORDIA UNIVERSITY -                                                ,501 WEST FRONT STREET                                                  ,BOISE                    ,ID        ,83702-7232
07/17/2020 ,00822105     ,UNIVERSAL TECHNICAL INSTITUTE                                         ,UNIVERSAL TECHNICAL INSTITUTE - MASSACHUSETTS                         ,ONE UPLAND ROAD BUILDING 200                                           ,NORWOOD                  ,MA        ,02062-1546
07/18/2020 ,00174616     ,ROBERT MORRIS UNIVERSITY ILLINOIS                                     ,ROBERT MORRIS UNIVERSITY ILLINOIS - ARLINGTON HEIGHTS CAMPUS          ,2121 SOUTH GOEBBERT ROAD                                               ,ARLINGTON HEIGHTS        ,IL        ,60005-4205
07/22/2020 ,04204802     ,AMERICAN COLLEGE OF BARBERING                                         ,AMERICAN COLLEGE OF BARBERING - MURFREESBOROTN                        ,1233 COMMERCE PARK                                                     ,MURFREESBORO             ,TN        ,37130-4995
07/22/2020 ,32098818     ,UNIVERSITY OF PHOENIX                                                 ,UNIVERSITY OF PHOENIX - NORTH FLORIDA CAMPUS (C)                      ,4500 SALISBURY ROAD                                                    ,JACKSONVILLE             ,FL        ,32216-0959
07/26/2020 ,42098827     ,UNIVERSITY OF PHOENIX                                                 ,UNIVERSITY OF PHOENIX - CHARLOTTE CAMPUS (C)                          ,3800 ARCO CORPORATE DRIVE                                              ,CHARLOTTE                ,NC        ,28273-3409
