CLOSED DATE,OPEID,SCHOOL NAME                                                        ,LOCATION                                                       ,ADDRESS                                                       ,CITY          ,STATE,ZIP CODE
03/31/2022 ,00754900     ,COYNE COLLEGE                                                         ,COYNE COLLEGE                                                         ,1 NORTH STATE STREET SUITE 400                                         ,CHICAGO                  ,IL        ,60602-3302
03/31/2022 ,04174200     ,ALL BEAUTY COLLEGE                                                    ,ALL BEAUTY COLLEGE                                                    ,2153 EAST GORDON DRIVE                                                 ,KINGMAN                  ,AZ        ,86409-2561
03/31/2022 ,04174202     ,ALL BEAUTY COLLEGE                                                    ,ALL BEAUTY COLLEGE-LAKE HAVASU CITY                                   ,2060 WEST ACOMA BOULEVARD                                              ,LAKE HAVASU CITY         ,AZ        ,86403-2974
03/31/2022 ,04174203     ,ALL BEAUTY COLLEGE                                                    ,ALL BEAUTY COLLEGE                                                    ,1385 EAST GEMINI STREET                                                ,FORT MOHAVE              ,AZ        ,86426-8326
03/28/2022 ,02177503     ,RIO SALADO COMMUNITY COLLEGE                                          ,RIO SALADO COMMUNITY COLLEGE - LUKE AFB                               ,56 MSS/DPE ATTN: RIO SALADO COLL 7383 N. LITCHFIELD ROAD SUITE 3134    ,GLENDALE                 ,AZ        ,85309-1500
03/28/2022 ,02177513     ,RIO SALADO COMMUNITY COLLEGE                                          ,RIO SALADO COMMUNITY COLLEGE - DOWNTOWN                               ,619 NORTH 7TH AVENUE                                                   ,PHOENIX                  ,AZ        ,85007-2304
03/21/2022 ,00746905     ,HUSSIAN COLLEGE                                                       ,HUSSIAN COLLEGE -  DAYMAR COLLEGE BOWLING GREEN                       ,2421 FITZGERALD INDUSTRIAL DRIVE                                       ,BOWLING GREEN            ,KY        ,42101-4802
03/08/2022 ,00757311     ,EMPIRE BEAUTY SCHOOL                                                  ,EMPIRE BEAUTY SCHOOL - INDIANAPOLIS                                   ,3810 EAST SOUTHPORT ROAD                                               ,INDIANAPOLIS             ,IN        ,46237-3249
03/04/2022 ,00193701     ,OTTAWA UNIVERSITY                                                     ,OTTAWA UNIVERSITY - PHOENIX                                           ,9414 N. 25TH AVENUE                                                    ,PHOENIX                  ,AZ        ,85021-2807
03/04/2022 ,00252579     ,WILLIAM WOODS UNIVERSITY                                              ,WILLIAM WOODS UNIVERSITY - COLUMBIA                                   ,WILLIAM WOODS UNIVERSITY - COLUMBIA 601 BUSINESS LOOP 70 W             ,COLUMBIA                 ,MO        ,65203-9999
02/28/2022 ,00172202     ,MCKENDREE UNIVERSITY                                                  ,MCKENDREE UNIVERSITY - RADCLIFF                                       ,1635 WEST LINCOLN TRAIL BOULEVARD                                      ,RADCLIFF                 ,KY        ,40160-2551
02/25/2022 ,02524003     ,JONES TECHNICAL INSTITUTE                                             ,JONES TECHNICAL INSTITUTE-SUNSTATE ACADEMY                            ,2525 DREW STREET                                                       ,CLEARWATER               ,FL        ,33765-2702
02/18/2022 ,04118300     ,NORTHCOAST MEDICAL TRAINING ACADEMY                                   ,NORTHCOAST MEDICAL TRAINING ACADEMY                                   ,1832 STATE ROUTE 59                                                    ,KENT                     ,OH        ,44240-4174
02/14/2022 ,02573202     ,LA BELLE BEAUTY ACADEMY                                               ,LA BELLE BEAUTY ACADEMY - MIAMI                                       ,7390 WEST FLAGLER STREET                                               ,MIAMI                    ,FL        ,33144-2506
01/31/2022 ,03294301     ,BLUE CLIFF COLLEGE                                                    ,BLUE CLIFF COLLEGE - HOUMA                                            ,803 BARROW STREET                                                      ,HOUMA                    ,LA        ,70360-4722
01/31/2022 ,20182277     ,INDIANA WESLEYAN UNIVERSITY                                           ,INDIANA WESLEYAN UNIVERSITY - INDIANAPOLIS EDUCATION CENTER WEST      ,6325 DIGITAL WAY SUITE 222                                             ,INDIANAPOLIS             ,IN        ,46278-1695
01/13/2022 ,01019820     ,ECPI UNIVERSITY                                                       ,ECPI UNIVERSITY - CULINARY INSTITUTE OF VIRGINIA - NEWPORT NEWS       ,11850 MERCHANTS WALK                                                   ,NEWPORT NEWS             ,VA        ,23606-3320
01/01/2022 ,00359904     ,UNIVERSITY OF TEXAS RIO GRANDE VALLEY                                 ,UNIVERSITY OF TEXAS RIO GRANDE VALLEY - AT STARR COUNTY               ,138 NORTH FM 3167                                                      ,RIO GRANDE CITY          ,TX        ,78582-6211
