CLOSED DATE,OPEID,SCHOOL NAME,LOCATION                                                       ,ADDRESS                                                       ,CITY          ,STATE,ZIP CODE
12/31/2019 ,00169228     ,ILLINOIS STATE UNIVERSITY                                             ,ILLINOIS STATE UNIVERSITY - REGIONAL OFFICE OF EDUCATION FOR DEWITT-LI,905 NORTH MAIN SUITE 1                                                 ,NORMAL                   ,IL        ,61761-1590
12/31/2019 ,00169235     ,ILLINOIS STATE UNIVERSITY                                             ,ILLINOIS STATE UNIVERSITY - UNIVERSITY OF ILLINOIS MEDICAL CENTER     ,1855 WEST TAYLOR STREET SUITE B46                                      ,CHICAGO                  ,IL        ,60612-7242
12/31/2019 ,00173310     ,NATIONAL LOUIS UNIVERSITY                                             ,NATIONAL LOUIS UNIVERSITY - ELGIN CAMPUS                              ,620 TOLLGATE ROAD                                                      ,ELGIN                    ,IL        ,60123-0000
12/31/2019 ,00213013     ,BOSTON UNIVERSITY                                                     ,BOSTON UNIVERSITY - NORTH CAROLINA - CAMP LEJEUNE                     ,BLDG 825 STONE STREET                                                  ,CAMP LEJEUNE             ,NC        ,28547-8626
12/31/2019 ,00213014     ,BOSTON UNIVERSITY                                                     ,BOSTON UNIVERSITY - NORTH CAROLINA - HAVELOCK/CHERRY POINT            ,TRAINING/EDUCATION BUILDING 4335                                       ,HAVELOCK                 ,NC        ,28532-2229
12/31/2019 ,00224946     ,DAVENPORT UNIVERSITY                                                  ,DAVENPORT UNIVERSITY - THE DOWNTOWN CENTER                            ,45 OTTAWA AVENUE                                                       ,GRAND RAPIDS             ,MI        ,49503-2602
12/31/2019 ,00261702     ,MONTCLAIR STATE UNIVERSITY                                            ,MONTCLAIR STATE UNIVERSITY - CUMBERLAND COUNTY COLLEGE                ,SOCIAL SCIENCE DEPARTMENT 1500 COLLEGE DR.                             ,VINELAND                 ,NJ        ,08632-1500
12/31/2019 ,00275134     ,LONG ISLAND UNIVERSITY                                                ,LONG ISLAND UNIVERSITY - KINGS COUNTY HOSPITAL CENTER                 ,451 CLARKSON AVENUE                                                    ,NEW YORK                 ,NY        ,11203-0000
12/31/2019 ,00295603     ,CAROLINA UNIVERSITY                                                   ,PIEDMONT INTERNATIONAL UNIVERSITY - CHATTANOOGA CAMPUS                ,1815 UNION AVENUE                                                      ,CHATTANOOGA              ,TN        ,37404-3587
12/31/2019 ,00348716     ,EAST TENNESSEE STATE UNIVERSITY                                       ,EAST TENNESSEE STATE UNIVERSITY - WALTERS STATE COMM COLLEGE          ,500 SOUTH DAVY CROCKETT PARKWAY                                        ,MORRISTOWN               ,TN        ,37813-6899
12/31/2019 ,00756010     ,RIVER VALLEY COMMUNITY COLLEGE                                        ,RIVER VALLEY COMMUNITY COLLEGE - GRANITE STATE COLLEGE                ,27 PLEASANT STREET                                                     ,CLAREMONT                ,NH        ,03743-9707
12/31/2019 ,02070502     ,CONCORDIA UNIVERSITY                                                  ,CONCORDIA UNIVERSITY - ESCONDIDO REGIONAL CENTER                      ,120 NORTH ASH                                                          ,ESCONDIDO                ,CA        ,92707-1225
12/31/2019 ,02070504     ,CONCORDIA UNIVERSITY                                                  ,CONCORDIA UNIVERSITY - LA REGIONAL CENTER                             ,512 WEST DUARTE ROAD                                                   ,ARCADIA                  ,CA        ,91007-0000
12/31/2019 ,02070539     ,CONCORDIA UNIVERSITY                                                  ,CONCORDIA UNIVERSITY -                                                ,4783 WEST 130TH STREET                                                 ,HAWTHORNE                ,CA        ,90250-0000
12/31/2019 ,02070582     ,CONCORDIA UNIVERSITY                                                  ,CONCORDIA UNIVERSITY -                                                ,3478 BUSKIRK AVENUE SUITE #1000                                        ,PLEASANT HILL            ,CA        ,94523-0000
12/31/2019 ,02587510     ,UNIVERSIDAD ANA G. MÉNDEZ - CUPEY CAMPUS                              ,UNIVERSIDAD ANA G. MÉNDEZ - COMERÍO                                   ,CALLE GEORGETTI # 25 BO. PUEBLO EN COMERÍO                             ,COMERIO                  ,PR        ,00782-0000
12/31/2019 ,04147700     ,LAKE LANIER SCHOOL OF MASSAGE                                         ,LAKE LANIER SCHOOL OF MASSAGE                                         ,675 E.E. BUTLER PARKWAY SUITE K                                        ,GAINESVILLE              ,GA        ,30501-4546
12/31/2019 ,04147701     ,LAKE LANIER SCHOOL OF MASSAGE                                         ,LAKE LANIER SCHOOL OF MASSAGE - DULUTH                                ,2131 PLEASANT HILL ROAD SUITE 125                                      ,DULUTH                   ,GA        ,30096-2303
12/31/2019 ,10184303     ,VINCENNES UNIVERSITY                                                  ,VINCENNES UNIVERSITY - NEWPORT                                        ,MEP VU USCG NEWPORT 1590 NW SPRING STREET                              ,NEWPORT                  ,OR        ,97365-2345
12/23/2019 ,00407247     ,NORTHWOOD UNIVERSITY                                                  ,NORTHWOOD UNIVERSITY - GRAND RAPIDS OUTREACH CENTER                   ,515 MICHIGAN N. E.                                                     ,GRAND RAPIDS             ,MI        ,49503-6130
12/23/2019 ,00407248     ,NORTHWOOD UNIVERSITY                                                  ,NORTHWOOD UNIVERSITY - SAGINAW PROGRAM CENTER                         ,5815 BAY ROAD SUITE 500                                                ,SAGINAW                  ,MI        ,48604-9416
12/23/2019 ,00407282     ,NORTHWOOD UNIVERSITY                                                  ,NORTHWOOD UNIVERSITY - BAY CITY PROGRAM CENTER                        ,4155 MONITOR ROAD                                                      ,BAY CITY                 ,MI        ,48640-2397
12/22/2019 ,00160203     ,GEORGIA COLLEGE & STATE UNIVERSITY                                    ,GEORGIA COLLEGE & STATE UNIVERSITY - WARNER ROBINS LOCATION           ,CGTC VECTR CENTER 1001 SOUTH ARMED FORCED BLVD                         ,WARNER ROBINS AFB        ,GA        ,31088-2232
12/22/2019 ,02190702     ,FORTIS COLLEGE                                                        ,FORTIS COLLEGE - PHOENIX CAMPUS                                       ,555 NORTH 18TH STREET SUITE 110                                        ,PHOENIX                  ,AZ        ,85006-3759
12/20/2019 ,00315407     ,EAST CENTRAL UNIVERSITY                                               ,EAST CENTRAL UNIVERSITY - CAMERON UNIVERSITY - DUNCAN BRANCH CAMPUS   ,3100 W. BOIS D'ARC AVENUE                                              ,DUNCAN                   ,OK        ,73533-2209
12/20/2019 ,00391948     ,UNIVERSITY OF WISCONSIN - LACROSSE                                    ,UNIVERSITY OF WISCONSIN - LACROSSE - NORTH WOODS INTERNATIONAL SCHOOL ,N2541 SABLEWOOD ROAD                                                   ,LA CROSSE                ,WI        ,54601-2994
12/20/2019 ,00464500     ,MINNEAPOLIS BUSINESS COLLEGE                                          ,MINNEAPOLIS BUSINESS COLLEGE                                          ,1711 WEST COUNTY ROAD B                                                ,ROSEVILLE                ,MN        ,55113-4036
12/20/2019 ,01289101     ,ANTONELLI COLLEGE                                                     ,ANTONELLI COLLEGE - JACKSON                                           ,460 BRIARWOOD DRIVE SUITE 200                                          ,JACKSON                  ,MS        ,39206-3053
12/20/2019 ,01289102     ,ANTONELLI COLLEGE                                                     ,ANTONELLI COLLEGE - HATTIESBURG                                       ,1500 NORTH 31ST AVENUE                                                 ,HATTIESBURG              ,MS        ,39401-3056
12/20/2019 ,04136500     ,PCCENTER                                                              ,PCCENTER                                                              ,13617 INWOOD ROAD SUITE 240                                            ,FARMERS BRANCH           ,TX        ,75244-4647
12/19/2019 ,00108317     ,UNIVERSITY OF ARIZONA (THE)                                           ,UNIVERSITY OF ARIZONA (THE) - CENTRAL ARIZONA COLLEGE                 ,8470 NORTH OVERFIELD ROAD SIGNAL PEAK CAMPUS                           ,COOLIDGE                 ,AZ        ,85128-9030
12/19/2019 ,00207835     ,LOYOLA UNIVERSITY MARYLAND                                            ,LOYOLA UNIVERSITY MARYLAND - HERSHEY MONTESSORI TRAINING INSTITUTE    ,10924 MAGNOLIA DRIVE                                                   ,CLEVELAND                ,OH        ,44106-1810
12/19/2019 ,01303922     ,SOUTH UNIVERSITY                                                      ,SOUTH UNIVERSITY - CLEVELAND                                          ,4743 RICHMOND ROAD                                                     ,WARRENSVILLE HEIGHTS     ,OH        ,44128-5919
12/19/2019 ,03010804     ,FORTIS INSTITUTE                                                      ,FORTIS INSTITUTE                                                      ,5757 WEST 26TH STREET                                                  ,ERIE                     ,PA        ,16506-1013
12/18/2019 ,00304606     ,FRANKLIN UNIVERSITY                                                   ,FRANKLIN UNIVERSITY - DUBLIN                                          ,495 METRO PLACE SOUTH                                                  ,DUBLIN                   ,OH        ,43017-5331
12/18/2019 ,72098866     ,UNIVERSITY OF PHOENIX                                                 ,UNIVERSITY OF PHOENIX - COLUMBUS GEORGIA MAIN CAMPUS                  ,7200 NORTH LAKE DRIVE                                                  ,COLUMBUS                 ,GA        ,31909-0000
12/17/2019 ,00228400     ,MARYGROVE COLLEGE                                                     ,MARYGROVE COLLEGE                                                     ,8425 WEST MCNICHOLS ROAD                                               ,DETROIT                  ,MI        ,48221-2599
12/17/2019 ,82098808     ,UNIVERSITY OF PHOENIX                                                 ,UNIVERSITY OF PHOENIX - HOMEWOOD SUITES BY HILTON COLUMBUS            ,6614 WHITTLESEY BOULEVARD                                              ,COLUMBUS                 ,GA        ,31909-7251
12/16/2019 ,00232355     ,UNIVERSITY OF DETROIT MERCY                                           ,UNIVERSITY OF DETROIT MERCY - WAYNE COUNTY COMMUNITY COLLEGE H.W.     ,19305 VERNIER ROAD                                                     ,HARPER WOODS             ,MI        ,48225-0000
12/16/2019 ,00232369     ,UNIVERSITY OF DETROIT MERCY                                           ,UNIVERSITY OF DETROIT MERCY - HENRY FORD HOSPITAL                     ,1 FORD PLACE                                                           ,DETROIT                  ,MI        ,48202-2689
12/13/2019 ,00109206     ,UNIVERSITY OF CENTRAL ARKANSAS                                        ,UNIVERSITY OF CENTRAL ARKANSAS - MID SOUTH COMMUNITY COLLEGE          ,2000 WEST BROADWAY                                                     ,WEST MEMPHIS             ,AR        ,72301-0000
12/13/2019 ,00109804     ,HENDERSON STATE UNIVERSITY                                            ,HENDERSON STATE UNIVERSITY - HOT SPRINGS                              ,201 MARKET STREET                                                      ,HOT SPRINGS              ,AR        ,71901-7029
12/13/2019 ,00197207     ,LINDSEY WILSON COLLEGE                                                ,LINDSEY WILSON COLLEGE - MAYSVILLE CAMPUS                             ,1755 U.S. 68                                                           ,MAYSVILLE                ,KY        ,41056-8910
12/13/2019 ,00197216     ,LINDSEY WILSON COLLEGE                                                ,LINDSEY WILSON COLLEGE - CINCINNATI CAMPUS                            ,3520 CENTRAL PARKWAY                                                   ,CINCINNATI               ,OH        ,45223-2612
12/13/2019 ,00248024     ,LINDENWOOD UNIVERSITY                                                 ,LINDENWOOD UNIVERSITY - PARKWAY SCHOOL DISTRICT                       ,701 WREN AVENUE                                                        ,CHESTERFIELD             ,MO        ,63017-3327
12/13/2019 ,00248050     ,LINDENWOOD UNIVERSITY                                                 ,LINDENWOOD UNIVERSITY - AURORA SCHOOL DISTRICT                        ,305 WEST PROSPECT AVENUE                                               ,AURORA                   ,MO        ,65605-1422
12/13/2019 ,00248096     ,LINDENWOOD UNIVERSITY                                                 ,LINDENWOOD UNIVERSITY - OZARK TECHNICAL COMMUNITY COLLEGE             ,600 G.W. LANE                                                          ,WAYNESVILLE              ,MO        ,65583-2266
12/13/2019 ,00327719     ,INDIANA UNIVERSITY OF PENNSYLVANIA                                    ,INDIANA UNIVERSITY OF PENNSYLVANIA - CCAC ALLEGHENY                   ,808 RIDGE AVENUE                                                       ,PITTSBURGH               ,PA        ,15212-6003
12/13/2019 ,01229500     ,JZ TREND ACADEMY PAUL MITCHELL PARTNER SCHOOL                         ,JZ TREND ACADEMY PAUL MITCHELL PARTNER SCHOOL                         ,1320 TACOMA AVENUE                                                     ,BISMARCK                 ,ND        ,58504-4001
12/13/2019 ,04051300     ,ART INSTITUTE OF LAS VEGAS (THE)                                      ,ART INSTITUTE OF LAS VEGAS (THE)                                      ,2350 CORPORATE CIRCLE                                                  ,HENDERSON                ,NV        ,89074-7737
12/13/2019 ,10248005     ,LINDENWOOD UNIVERSITY                                                 ,LINDENWOOD UNIVERSITY - HOLLISTER SCHOOL DISTRICT CENTRAL OFFICE      ,1014 STATE HWY BB                                                      ,HOLLISTER                ,MO        ,65672-5421
12/13/2019 ,10248009     ,LINDENWOOD UNIVERSITY                                                 ,LINDENWOOD UNIVERSITY - WEST PLAINS SOUTH CENTRAL CAREER CENTER       ,407 THORNBURG STREET                                                   ,WEST PLAINS              ,MO        ,65775-3052
12/13/2019 ,20173303     ,NATIONAL LOUIS UNIVERSITY                                             ,NATIONAL LOUIS UNIVERSITY - UNIVERSITY CENTER OF LAKE COUNTY          ,1200 UNIVERSITY CENTER DRIVE                                           ,GRAYSLAKE                ,IL        ,60030-0000
12/12/2019 ,00322430     ,UNIVERSITY OF PORTLAND                                                ,UNIVERSITY OF PORTLAND - GRIFFIN CENTER                               ,11957 SOUTH EAST FULLER ROAD                                           ,MILWAUKIE                ,OR        ,97222-1203
12/12/2019 ,00327227     ,HARCUM COLLEGE                                                        ,HARCUM COLLEGE - MONSIGNOR BONNER & ARCHBISHOP PRENDERGAST HIGH SCHOOL,403 N LANSDOWNE AVENUE                                                 ,DREXEL HILL              ,PA        ,19026-1113
12/11/2019 ,72098826     ,UNIVERSITY OF PHOENIX                                                 ,UNIVERSITY OF PHOENIX - STONECREST II                                 ,9665 GRANITE RIDGE DRIVE                                               ,SAN DIEGO                ,CA        ,92123-2667
12/10/2019 ,02180200     ,METRO BUSINESS COLLEGE                                                ,METRO BUSINESS COLLEGE                                                ,1732 NORTH KINGSHIGHWAY                                                ,CAPE GIRARDEAU           ,MO        ,63701-3846
12/10/2019 ,02180201     ,METRO BUSINESS COLLEGE                                                ,METRO BUSINESS COLLEGE - JEFFERSON CITY                               ,210 EL MERCADO PLAZA                                                   ,JEFFERSON CITY           ,MO        ,65109-6822
12/10/2019 ,02180202     ,METRO BUSINESS COLLEGE                                                ,METRO BUSINESS COLLEGE - ROLLA                                        ,1202 EAST HIGHWAY 72                                                   ,ROLLA                    ,MO        ,65401-3938
12/07/2019 ,00224349     ,CENTRAL MICHIGAN UNIVERSITY                                           ,CENTRAL MICHIGAN UNIVERSITY - ATLANTA METRO CENTER                    ,2120 POWERS FERRY RD SHADOWOOD OFFICE PARK SE SUITE 200                ,ATLANTA                  ,GA        ,30339-5086
12/06/2019 ,02143401     ,SALISH KOOTENAI COLLEGE                                               ,SALISH KOOTENAI COLLEGE - WELLPINIT LOCATION                          ,6626 OLD SCHOOL ROAD                                                   ,WELLPINIT                ,WA        ,99040-0000
12/06/2019 ,03590402     ,NTMA TRAINING CENTERS OF SOUTHERN CALIFORNIA                          ,NTMA TRAINING CENTERS OF SOUTHERN CALIFORNIA -                        ,1717 SOUTH GROVE AVENUE                                                ,ONTARIO                  ,CA        ,91761-4530
12/05/2019 ,00297614     ,UNIVERSITY OF NORTH CAROLINA -GREENSBORO                              ,UNIVERSITY OF NORTH CAROLINA -GREENSBORO - BILTMORE PARK TOWN SQUARE  ,28 SCHENCK PARKWAY SUITE 309                                           ,ASHEVILLE                ,NC        ,28803-5505
12/05/2019 ,04220900     ,NATIONAL PERSONAL TRAINING INSTITUTE OF COLUMBUS                      ,NATIONAL PERSONAL TRAINING INSTITUTE OF COLUMBUS                      ,10516 SAWMILL ROAD SUITE C                                             ,POWELL                   ,OH        ,43065-0000
12/05/2019 ,04220901     ,NATIONAL PERSONAL TRAINING INSTITUTE OF COLUMBUS                      ,NATIONAL PERSONAL TRAINING INSTITUTE OF CLEVELAND -                   ,673 ALPHA DRIVE SUITE A                                                ,HIGHLAND HEIGHTS         ,OH        ,44143-2142
12/04/2019 ,00524502     ,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT MORRILTON                 ,UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT MORRILTON - CLINTON       ,236 FACTORY ROAD                                                       ,CLINTON                  ,AR        ,72031-7166
12/02/2019 ,00136384     ,REGIS UNIVERSITY                                                      ,REGIS UNIVERSITY - MORGAN COMMUNITY COLLEGE                           ,920 BARLOW ROAD                                                        ,FORT MORGAN              ,CO        ,80701-4371
12/02/2019 ,00952300     ,LA'JAMES INTERNATIONAL COLLEGE                                        ,LA'JAMES INTERNATIONAL COLLEGE                                        ,1660 NORTH GRANT STREET                                                ,FREMONT                  ,NE        ,68025-3297
12/01/2019 ,00267118     ,BARD COLLEGE                                                          ,BARD COLLEGE - MAT PROGRAM CA                                         ,IMMANUEL PRESBYTERIAN CHURCH 3300 WILSHIRE BOULEVARD                   ,LOS ANGELES              ,CA        ,90010-1757
11/30/2019 ,00177408     ,UNIVERSITY OF CHICAGO (THE)                                           ,UNIVERSITY OF CHICAGO (THE) - FINANCIAL MATH PROGRAM                  ,677 WASHINGTON BOULEVARD 6TH FLOOR                                     ,STAMFORD                 ,CT        ,06901-3707
11/30/2019 ,00405718     ,NATIONAL AMERICAN UNIVERSITY                                          ,NATIONAL AMERICAN UNIVERSITY - OVERLAND PARK                          ,10310 MASTIN                                                           ,OVERLAND PARK            ,KS        ,66212-5451
11/30/2019 ,00405723     ,NATIONAL AMERICAN UNIVERSITY                                          ,NATIONAL AMERICAN UNIVERSITY - CENTENNIAL                             ,8242 SOUTH UNIVERSITY BLVD SUITE 100                                   ,CENTENNIAL               ,CO        ,80122-3157
11/30/2019 ,02617000     ,CONTINENTAL SCHOOL OF BEAUTY CULTURE                                  ,CONTINENTAL SCHOOL OF BEAUTY CULTURE                                  ,517 NORTH BARRY STREET                                                 ,OLEAN                    ,NY        ,14760-2618
11/27/2019 ,03061800     ,STAR COLLEGE OF COSMETOLOGY                                           ,STAR COLLEGE OF COSMETOLOGY                                           ,520 EAST FRONT STREET                                                  ,TYLER                    ,TX        ,75702-8214
11/26/2019 ,32098839     ,UNIVERSITY OF PHOENIX                                                 ,UNIVERSITY OF PHOENIX - HAWAII CAMPUS (C)                             ,745 FORT STREET                                                        ,HONOLULU                 ,HI        ,96813-3800
11/21/2019 ,02098860     ,UNIVERSITY OF PHOENIX                                                 ,UNIVERSITY OF PHOENIX - WOODLAND HILLS LEARNING CENTER (LC)           ,5955 DESOTO AVENUE                                                     ,WOODLAND HILLS           ,CA        ,91367-5107
11/21/2019 ,02098869     ,UNIVERSITY OF PHOENIX                                                 ,UNIVERSITY OF PHOENIX - COLORADO CAMPUS (C)                           ,10004 PARK MEADOWS DRIVE                                               ,LONE TREE                ,CO        ,80124-5453
11/17/2019 ,40182259     ,INDIANA WESLEYAN UNIVERSITY                                           ,INDIANA WESLEYAN UNIVERSITY - METROHEALTH MEDICAL CENTER              ,2500 METROHEALTH DRIVE                                                 ,CLEVELAND                ,OH        ,44109-1900
11/15/2019 ,02554803     ,VANGUARD COLLEGE OF COSMETOLOGY A PAUL MITCHELL PARTNER SCHOOLMETAIRIE,VANGUARD COLLEGE OF COSMETOLOGY A PAUL MITCHELL PARTNER SCHOOL-METAIRE,740 OAK HARBOR BOULEVARD                                               ,SLIDELL                  ,LA        ,70458-8823
11/13/2019 ,00249870     ,PARK UNIVERSITY                                                       ,PARK UNIVERSITY - OAK PARK HIGH SCHOOL                                ,825 NE 79 TERRACE                                                      ,KANSAS CITY              ,MO        ,64118-1556
11/13/2019 ,00249873     ,PARK UNIVERSITY                                                       ,PARK UNIVERSITY - VALLEY VIEW HIGH SCHOOL                             ,5000 NW VALLEY VIEW ROAD                                               ,BLUE SPRINGS             ,MO        ,64015-2345
11/13/2019 ,00249874     ,PARK UNIVERSITY                                                       ,PARK UNIVERSITY - FORT ZUMWALT WEST HIGH SHCOOL                       ,1251 TURTLE CREEK DRIVE                                                ,O'FALLON                 ,MO        ,63366-5948
11/13/2019 ,00249878     ,PARK UNIVERSITY                                                       ,PARK UNIVERSITY - GATEWAY HIGH SCHOOL                                 ,5101 MCREE AVENUE                                                      ,ST. LOUIS                ,MO        ,63110-2019
11/13/2019 ,00249879     ,PARK UNIVERSITY                                                       ,PARK UNIVERSITY - SECKMAN SENIOR HIGH SCHOOL                          ,2800 SECKMAN ROAD                                                      ,IMPERIAL                 ,MO        ,63052-1941
11/13/2019 ,00249880     ,PARK UNIVERSITY                                                       ,PARK UNIVERSITY - WESTMINSTER CHRISTIAN ACADEMY                       ,800 MARYVILLE CENTRE DRIVE                                             ,TOWN AND COUNTRY         ,MO        ,63017-5920
11/13/2019 ,00249883     ,PARK UNIVERSITY                                                       ,PARK UNIVERSITY - WEST PLATTE HIGH SCHOOL                             ,935 WASHINGTON STREET                                                  ,WESTON                   ,MO        ,64098-1044
11/11/2019 ,02560703     ,PICKAWAY ROSS COUNTY JOINT VOCATIONAL SCHOOL DISTRICT                 ,PICKAWAY ROSS COUNTY JOINT VOCATIONAL SCHOOL DISTRICT - CIRCLEVILLE   ,424 EAST MOUND STREET                                                  ,CIRCLEVILLE              ,OH        ,43113-0000
11/05/2019 ,02251500     ,TREND SETTERS' ACADEMY OF BEAUTY CULTURE                              ,TREND SETTERS' ACADEMY OF BEAUTY CULTURE                              ,7283 DIXIE HIGHWAY                                                     ,LOUISVILLE               ,KY        ,40258-3755
11/05/2019 ,02251501     ,TREND SETTERS' ACADEMY OF BEAUTY CULTURE                              ,TREND SETTERS ACADEMY OF BEAUTY CULTURE                               ,7283 DIXIE HIGHWAY                                                     ,LOUISVILLE               ,KY        ,40258-3755
11/05/2019 ,02251504     ,TREND SETTERS' ACADEMY OF BEAUTY CULTURE                              ,TREND SETTERS' ACADEMY OF BEAUTY CULTURE -                            ,8111 PRESTON HIGHWAY                                                   ,LOUISVILLE               ,KY        ,40219-3805
11/01/2019 ,00147964     ,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY                                  ,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY - LEMOORE CAMPUS                 ,824 HANCOCK CIRCLE ROOM 103                                            ,NAVAL AIR STATION LEMOORE,CA        ,93245-0000
11/01/2019 ,00343807     ,MEDICAL UNIVERSITY OF SOUTH CAROLINA                                  ,MEDICAL UNIVERSITY OF SOUTH CAROLINA - UNIVERSITY OF SOUTH CAROLINA   ,1714 COLLEGE STREET                                                    ,COLUMBIA                 ,SC        ,29208-3918
